Order_ID,Date,Region,Category,Product,Quantity,Unit_Price,Sales,Customer_Review
ORD2053,2024-01-02,North,Books,Biography,15,480.95,7214.25,"Average product, nothing special about it."
ORD1438,2024-01-02,North,Home & Kitchen,Vacuum Cleaner,2,199.11,398.22,"Average product, nothing special about it."
ORD1117,2024-01-03,East,Home & Kitchen,Cookware Set,10,365.76,3657.6,"Product stopped working after two days, frustrating."
ORD1149,2024-01-03,Central,Home & Kitchen,Coffee Maker,9,430.62,3875.58,"Exceeded my expectations, will buy again."
ORD2303,2024-01-03,East,Electronics,Smartphone,7,497.01,3479.07,Really impressed with the performance and design.
ORD2297,2024-01-03,North,Home & Kitchen,Vacuum Cleaner,5,391.11,1955.55,"Exceeded my expectations, will buy again."
ORD1445,2024-01-04,East,Clothing,T-Shirt,14,52.94,741.16,Bad customer service and defective item received.
ORD1042,2024-01-04,North,Sports,Running Shoes,11,387.85,4266.35,"Decent quality for the price, acceptable."
ORD2387,2024-01-05,Central,Home & Kitchen,Blender,15,149.34,2240.1,"Not worth the money, quality is really bad."
ORD1202,2024-01-06,Central,Sports,Cricket Bat,3,19.31,57.93,"Exceeded my expectations, will buy again."
ORD2460,2024-01-06,South,Clothing,T-Shirt,12,389.45,4673.4,"It's okay, does the job as expected."
ORD1403,2024-01-07,South,Books,Self-Help Book,14,21.72,304.08,"Absolutely love this product, works perfectly!"
ORD1069,2024-01-07,West,Books,Biography,12,156.32,1875.84,"Fantastic experience, product is top notch."
ORD2249,2024-01-08,West,Sports,Yoga Mat,5,387.03,1935.15,Really impressed with the performance and design.
ORD1770,2024-01-09,Central,Home & Kitchen,Blender,20,493.35,9867.0,"Exceeded my expectations, will buy again."
ORD2248,2024-01-10,East,Clothing,Sneakers,4,221.09,884.36,"Exceeded my expectations, will buy again."
ORD2180,2024-01-10,North,Sports,Cricket Bat,2,140.38,280.76,Bad customer service and defective item received.
ORD1086,2024-01-11,Central,Books,Cookbook,17,474.55,8067.35,"Fantastic experience, product is top notch."
ORD2080,2024-01-11,Central,Clothing,Cap,15,198.12,2971.8,"It is what it is, meets basic requirements."
ORD1275,2024-01-12,Central,Home & Kitchen,Cookware Set,9,330.3,2972.7,"It's okay, does the job as expected."
ORD1456,2024-01-13,West,Home & Kitchen,Cookware Set,20,297.91,5958.2,"It's okay, does the job as expected."
ORD1414,2024-01-13,North,Electronics,Smartphone,2,416.88,833.76,"Poor quality, would not recommend this to anyone."
ORD2286,2024-01-13,South,Electronics,Bluetooth Speaker,20,58.87,1177.4,"Great quality and fast delivery, highly recommend."
ORD1991,2024-01-14,North,Electronics,Smartwatch,6,331.34,1988.04,"Fantastic experience, product is top notch."
ORD1904,2024-01-14,South,Sports,Running Shoes,16,339.33,5429.28,"Great quality and fast delivery, highly recommend."
ORD1122,2024-01-16,West,Electronics,Bluetooth Speaker,5,210.89,1054.45,"Average product, nothing special about it."
ORD1290,2024-01-17,Central,Electronics,Smartwatch,8,110.98,887.84,"Absolutely love this product, works perfectly!"
ORD1815,2024-01-17,West,Sports,Football,2,176.25,352.5,"Absolutely love this product, works perfectly!"
ORD1999,2024-01-20,Central,Clothing,T-Shirt,14,292.44,4094.16,"Decent quality for the price, acceptable."
ORD1696,2024-01-20,North,Home & Kitchen,Vacuum Cleaner,10,435.03,4350.3,"Average product, nothing special about it."
ORD1893,2024-01-20,North,Sports,Yoga Mat,16,381.09,6097.44,"Great quality and fast delivery, highly recommend."
ORD1018,2024-01-20,West,Books,Cookbook,4,465.26,1861.04,"Terrible experience, delivery was delayed a lot."
ORD2063,2024-01-21,South,Sports,Yoga Mat,9,343.47,3091.23,"Average product, nothing special about it."
ORD1996,2024-01-21,West,Sports,Cricket Bat,15,296.76,4451.4,"Fantastic experience, product is top notch."
ORD1147,2024-01-22,Central,Electronics,Smartphone,2,395.53,791.06,"Exceeded my expectations, will buy again."
ORD2413,2024-01-22,East,Sports,Cricket Bat,6,487.44,2924.64,"Poor quality, would not recommend this to anyone."
ORD2074,2024-01-25,West,Electronics,Smartwatch,19,400.64,7612.16,"Terrible experience, delivery was delayed a lot."
ORD2154,2024-01-25,East,Books,Biography,8,425.0,3400.0,"Excellent value for money, very satisfied."
ORD1549,2024-01-25,South,Sports,Yoga Mat,15,361.27,5419.05,"Great quality and fast delivery, highly recommend."
ORD1746,2024-01-26,Central,Electronics,Smartwatch,16,453.43,7254.88,"Superb build quality, very happy with the purchase."
ORD2363,2024-01-27,North,Clothing,T-Shirt,14,15.65,219.1,"Average product, nothing special about it."
ORD2487,2024-01-27,East,Electronics,Bluetooth Speaker,20,379.69,7593.8,"This is amazing, exactly what I needed."
ORD2133,2024-01-28,West,Books,Fiction Novel,3,323.04,969.12,"Works fine, but packaging could be better."
ORD1918,2024-01-29,North,Home & Kitchen,Vacuum Cleaner,19,32.11,610.09,"Terrible experience, delivery was delayed a lot."
ORD2316,2024-01-29,East,Home & Kitchen,Cookware Set,8,148.28,1186.24,"Great quality and fast delivery, highly recommend."
ORD1126,2024-01-30,East,Sports,Dumbbells,2,168.94,337.88,"Superb build quality, very happy with the purchase."
ORD2391,2024-01-30,North,Home & Kitchen,Cookware Set,8,33.44,267.52,"Great quality and fast delivery, highly recommend."
ORD1465,2024-01-30,Central,Clothing,Cap,6,104.45,626.7,"Very disappointed, product broke within a week."
ORD1001,2024-01-31,North,Books,Biography,3,117.13,351.39,"Absolutely love this product, works perfectly!"
ORD1075,2024-02-01,North,Clothing,T-Shirt,8,107.69,861.52,"Exceeded my expectations, will buy again."
ORD1913,2024-02-02,North,Books,Comic Book,14,441.26,6177.64,Really impressed with the performance and design.
ORD1010,2024-02-02,South,Home & Kitchen,Blender,11,206.57,2272.27,"Superb build quality, very happy with the purchase."
ORD2358,2024-02-03,West,Clothing,T-Shirt,1,22.86,22.86,"It is what it is, meets basic requirements."
ORD1789,2024-02-03,Central,Sports,Dumbbells,11,492.2,5414.2,"Product stopped working after two days, frustrating."
ORD2077,2024-02-04,North,Electronics,Wireless Earbuds,13,163.51,2125.63,"Very disappointed, product broke within a week."
ORD1799,2024-02-04,South,Home & Kitchen,Vacuum Cleaner,1,313.5,313.5,"Excellent value for money, very satisfied."
ORD2484,2024-02-04,West,Electronics,Wireless Earbuds,9,146.2,1315.8,"Great quality and fast delivery, highly recommend."
